painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,actual_frequency_cycles,example_number_in_painter_box,x_position_in_cell,y_position_in_cell
Emily,shape4,filler,no,gabor1,gabor1,gabor2,no,no,images/all_shapes/shape4_gabor2.png,1,5,1,750,105
Emily,shape3,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape3_gabor1.png,1,2,2,145,220
Emily,shape5,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,3,10,3,420,95
Emily,shape5,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,1,10,4,585,90
Emily,shape5,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,4,10,5,95,90
Emily,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,2,2,6,255,85
Emily,shape2,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape2_gabor1.png,1,2,7,325,225
Emily,shape5,test,yes,gabor1,gabor3,gabor1,yes,no,images/all_shapes/shape5_gabor1.png,2,2,8,505,215
Isabella,shape8,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape8_gabor2.png,2,5,1,95,90
Isabella,shape8,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape8_gabor2.png,1,5,2,505,215
Isabella,shape3,filler,no,gabor2,gabor2,gabor1,no,no,images/all_shapes/shape3_gabor1.png,1,2,3,585,90
Isabella,shape1,test,yes,gabor2,gabor1,gabor2,yes,no,images/all_shapes/shape1_gabor2.png,2,5,4,750,105
Isabella,shape7,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape7_gabor2.png,1,5,5,255,85
Isabella,shape1,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape1_gabor1.png,1,2,6,325,225
Isabella,shape1,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape1_gabor1.png,3,2,7,420,95
Isabella,shape1,test,yes,gabor2,gabor1,gabor4,no,no,images/all_shapes/shape1_gabor4.png,4,20,8,145,220
Grace,shape8,filler,no,gabor3,gabor3,gabor2,no,no,images/all_shapes/shape8_gabor2.png,2,5,1,255,85
Grace,shape5,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape5_gabor3.png,1,10,2,325,225
Grace,shape2,test,yes,gabor3,gabor4,gabor1,no,no,images/all_shapes/shape2_gabor1.png,4,2,3,750,105
Grace,shape2,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape2_gabor4.png,1,20,4,420,95
Grace,shape2,test,yes,gabor3,gabor4,gabor3,yes,no,images/all_shapes/shape2_gabor3.png,2,10,5,505,215
Grace,shape8,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape8_gabor3.png,1,10,6,95,90
Grace,shape2,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape2_gabor4.png,3,20,7,585,90
Grace,shape6,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape6_gabor3.png,1,10,8,145,220
Olivia,shape7,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape7_gabor4.png,1,20,1,325,225
